gene_id,1622003800C,1621001800C,1622003500C,1621003700C,1621002900C,1621002200C,162200380CP,162100180CP,162200350CP,162100370CP,162100290CP,162100220CP
NONHSAG104656.1,8,12,15,42,7,14,18,6,37,18,19,13
ENSG00000198692,14,5,5,14,12,21,15,6,13,10,9,16
NONHSAG104654.1,8,3,0,4,2,9,6,10,6,9,10,10
NONHSAG115270.1,18,14,5,13,10,14,7,16,5,24,15,13
NONHSAG104622.1,9,9,82,12,63,11,31,8,25,14,16,23
ENSG00000099715,26,24,19,11,15,37,63,25,84,17,17,23
ENSG00000124334,60,11,35,21,35,8,10,7,9,3,2,6
ENSG00000124333,1291,1462,1275,1121,1166,1308,943,1273,673,1165,1230,1432
ENSG00000168939,184,154,64,169,73,295,194,160,215,172,240,239
NONHSAG055627.2,5,6,8,10,3,8,17,12,10,5,7,5
ENSG00000288709,490,434,723,632,633,326,413,388,773,604,467,298
ENSG00000155961,100,46,76,135,231,13,36,46,37,81,38,53
ENSG00000214827,30,30,30,14,7,21,41,27,28,34,25,21
ENSG00000182712,219,239,232,188,188,287,218,259,183,227,325,255
ENSG00000165775,946,1317,1304,1024,1093,1175,905,1460,951,1602,1599,1354
ENSG00000185010,1241,1377,491,339,457,3403,1897,1457,2487,2285,3566,3313
ENSG00000130830,390,2557,1449,577,894,1583,324,656,611,531,717,692
ENSG00000130826,1961,1209,1686,2039,1180,979,1011,1779,842,1357,930,1186
ENSG00000160219,423,839,375,166,400,613,290,275,554,280,400,357
MSTRG.5849|ENSG00000275882,62,34,73,60,26,21,20,79,5,44,22,63
MSTRG.5765|ENSG00000269335,362,610,468,504,499,589,437,388,738,465,389,330
ENSG00000126903,701,819,859,765,546,650,668,771,695,838,600,593
NONHSAG055595.2,27,34,23,14,20,33,52,31,59,30,33,28
ENSG00000071859,1137,879,993,1073,1043,1160,683,549,853,766,809,796
ENSG00000203879,4440,2852,4029,3737,4891,2949,2958,3210,3598,3658,3132,2828
MSTRG.5764|ENSG00000071553,4507,3368,4581,5043,5104,1999,3097,2442,2254,2724,2163,2300
ENSG00000197180,56,65,58,78,105,56,48,56,51,88,64,48
ENSG00000280195,26,25,26,57,51,48,49,27,47,53,25,48
NONHSAG115256.1,9,5,9,12,16,13,26,5,10,13,15,17
ENSG00000102119,1434,1369,1915,1221,977,1025,1404,1750,1202,1436,1381,1157
MSTRG.5845|ENSG00000196924,47385,85572,55610,46212,48074,75914,40204,66016,103137,49412,60472,69135
ENSG00000007350,3,14,12,0,2,18,9,7,8,3,5,11
ENSG00000169057,3261,2950,3434,2489,1966,2863,4455,3527,5268,5724,4194,4463
ENSG00000177854,113,152,248,284,125,97,140,128,150,193,195,142
ENSG00000102030,1076,955,1399,1223,799,958,616,920,766,688,759,791
ENSG00000067840,87,174,196,81,124,162,215,394,372,222,259,299
ENSG00000180879,4232,2616,5353,3290,11247,1839,1821,3471,1556,2495,1643,1693
MSTRG.5843|ENSG00000067829,1641,1536,1853,1790,1516,1154,1416,1628,1184,1338,1320,1384
ENSG00000198753,1019,282,507,2533,87,314,1229,754,982,980,748,809
MSTRG.5842|ENSG00000185825,2873,2943,4347,3912,3494,3457,2574,2562,3688,3702,4246,3443
MSTRG.5762|ENSG00000130821,1782,514,1567,2535,821,418,804,844,908,1389,1576,1145
ENSG00000130822,55,5,72,7,9,2,13,12,9,6,10,6
ENSG00000182492,11310,47596,29231,32110,26380,13326,1929,6913,6787,4662,4080,4766
ENSG00000189420,67,118,108,111,146,146,46,60,79,116,158,121
ENSG00000063587,757,1180,1188,764,2150,1279,895,1244,1032,1430,1344,1314
ENSG00000235961,8,66,42,10,15,27,17,59,85,81,79,58
ENSG00000183837,27,7,8,1,9,5,15,14,26,18,28,17
NONHSAG055534.2,15,15,11,10,3,17,30,13,22,15,19,8
NONHSAG104592.2,130,19,26,18,44,13,37,23,35,36,24,29
ENSG00000147383,1138,384,820,798,492,465,514,551,450,548,562,581
ENSG00000147400,1961,932,1364,1651,987,734,1014,1209,640,1176,870,1075
MSTRG.5760|ENSG00000130032,73,180,42,20,26,96,110,567,338,426,421,553
ENSG00000287918,10,10,6,2,10,12,16,16,10,21,7,12
NONHSAG103922.1,23,18,25,14,19,30,32,28,37,30,19,17
NONHSAG103632.1,12,15,13,6,16,14,34,12,29,19,17,16
MSTRG.5759|ENSG00000063601,1344,882,1292,1244,1313,522,1326,1231,1193,1386,999,1204
ENSG00000013619,420,322,366,475,125,263,235,372,563,357,573,360
ENSG00000235703,271,142,252,174,172,116,473,123,345,276,151,210
MSTRG.5839|ENSG00000197021,438,360,1054,710,563,362,539,468,574,558,459,363
NONHSAG115251.1,94,110,309,157,97,108,229,160,145,216,160,129
ENSG00000171116,46,27,50,0,4,11,22,32,59,0,0,37
ENSG00000269556,621,717,863,972,560,519,725,723,814,1036,757,822
ENSG00000268738,3,0,13,57,17,11,39,0,10,65,29,12
ENSG00000241769,76,35,55,44,39,55,143,73,149,122,47,85
ENSG00000238039,17,4,11,12,12,9,47,4,17,23,19,19
MSTRG.5838|ENSG00000241489,592,494,1022,630,714,583,893,853,1350,1282,881,737
ENSG00000010404,4188,5390,5134,3437,5590,3406,4833,5557,4387,6984,6892,5228
ENSG00000155966,98,215,58,90,177,151,127,187,126,224,231,709
MSTRG.5758|ENSG00000102081,1837,2014,2305,1873,2536,1603,2273,2384,1720,2690,2499,2506
ENSG00000155495,16,1,13,102,0,0,2,0,1,8,0,0
ENSG00000277215,53,58,33,35,23,59,52,55,78,56,40,56
ENSG00000182195,1247,1253,1215,1865,1121,624,1175,1635,1080,1309,1177,1419
NONHSAG103911.1,151,149,128,69,101,181,230,124,174,151,125,158
MSTRG.5757|ENSG00000203930,19075,11836,7660,4497,8247,40958,6155,14526,30602,90822,84218,122503
NONHSAG103908.1,6,13,3,8,2,17,9,6,17,7,10,14
MSTRG.5837|ENSG00000101974,2225,2273,1181,2702,1683,3213,1397,1847,2014,2047,1991,2288
ENSG00000226031,4,5,0,1,0,5,12,5,16,11,16,24
NONHSAG103600.1,9,7,11,6,2,5,13,8,11,11,9,14
NONHSAG115240.1,28,11,14,18,24,26,56,24,44,41,29,28
MSTRG.5835|ENSG00000129675,2490,3305,1338,1219,2012,4054,3510,3147,3628,6438,6546,7686
ENSG00000233093,12,18,10,3,15,9,5,8,5,6,8,8
ENSG00000102243,5,30,1,81,0,3,115,95,84,104,90,53
MSTRG.5756|ENSG00000102241,2163,1715,1728,2153,2008,1741,2020,2286,1774,2588,2296,2218
NONHSAG103598.1,65,46,36,33,53,82,72,42,134,53,48,47
MSTRG.5755|ENSG00000022267,3898,2827,883,1045,1786,26571,2341,3666,11565,20297,36342,28214
ENSG00000198689,315,920,362,298,685,642,477,628,605,847,715,637
ENSG00000169446,1590,1893,1695,1382,2020,1690,1834,2338,1477,2574,2813,2528
NONHSAG055384.2,33,20,14,11,12,19,46,12,21,21,17,10
ENSG00000186376,439,493,369,494,429,511,609,447,601,682,434,570
ENSG00000286964,30,46,35,74,27,49,42,52,32,70,56,43
ENSG00000134590,1356,3000,1904,2595,1975,2591,1489,2007,1988,2332,2694,2335
NONHSAG055369.3,150,135,208,156,154,119,309,164,180,213,168,191
ENSG00000184785,63,211,59,73,60,310,114,244,143,274,234,242
NONHSAG103897.1,42,32,34,26,26,44,50,33,68,38,43,32
NONHSAG055362.3,21,30,24,26,24,33,55,36,55,59,31,54
NONHSAG055360.2,6,10,1,2,0,3,13,3,6,10,5,8
ENSG00000156504,536,758,996,999,785,846,872,950,753,1040,953,879
ENSG00000165704,561,751,1356,557,652,599,468,864,314,493,433,487
ENSG00000147257,683,711,4219,107,346,1065,883,2248,1509,3657,3837,3293
ENSG00000076716,1585,1240,557,1738,3846,571,933,591,940,1130,834,998
ENSG00000171004,113,95,383,414,472,88,317,262,25,118,47,335
ENSG00000232160,111,183,87,78,107,129,218,243,169,190,227,271
MSTRG.5832|ENSG00000123728,1471,1498,1971,1407,1357,1008,1037,1041,722,1085,921,985
NONHSAG103585.1,19,13,6,0,7,12,23,13,34,12,5,11
ENSG00000134602,732,389,421,491,498,160,382,524,252,395,332,355
ENSG00000147255,13,245,736,7,6,30,80,1228,376,177,312,215
MSTRG.5830|ENSG00000165675,559,557,661,535,594,541,419,502,604,640,566,633
MSTRG.5753|ENSG00000221930,61,10,39,35,29,30,26,12,23,60,23,33
ENSG00000134597,604,617,676,492,623,409,476,656,369,595,535,609
ENSG00000134594,27,33,26,23,55,11,10,11,21,10,11,11
MSTRG.5828|ENSG00000102034,970,2029,1329,1681,1225,1462,828,1140,1143,1056,1334,792
NONHSAG115228.1,33,12,8,21,12,12,11,8,18,18,8,7
ENSG00000235189,57,58,51,55,42,102,74,42,127,60,58,64
ENSG00000171388,143,557,193,806,275,584,39,466,99,161,114,186
MSTRG.5826|ENSG00000102038,555,2039,1730,1608,1004,1688,2339,2565,1805,2412,2207,2325
NONHSAG115219.1,202,184,659,155,143,218,360,125,349,212,191,221
ENSG00000198354,40,36,6,3,19,20,13,46,21,50,21,33
ENSG00000183918,287,155,297,20,250,63,51,36,73,48,67,58
NONHSAG103567.1,8,8,6,8,6,10,24,6,22,14,10,13
MSTRG.5825|ENSG00000125676,3310,2845,3053,3632,3106,2403,2974,3102,2452,3329,2968,3279
ENSG00000125675,38,212,77,35,37,40,124,397,211,227,90,171
ENSG00000260585,5,11,1,26,7,20,6,15,12,5,7,13
ENSG00000182890,53,33,12,20,41,116,37,59,117,50,80,103
ENSG00000232119,844,716,871,910,795,732,749,589,620,721,630,691
MSTRG.5823|ENSG00000158290,3440,3856,3260,4547,3715,3721,4005,3764,3249,4820,4114,4618
ENSG00000101892,14,14,6,7,12,12,14,4,29,15,12,8
ENSG00000125355,84,175,65,162,140,37,359,259,248,551,289,166
ENSG00000177485,2227,1703,1476,1742,2397,999,3834,2037,1309,2543,1862,2608
ENSG00000258545,71,38,28,14,31,52,54,42,56,153,399,308
ENSG00000101882,667,775,862,919,706,693,916,917,1060,1147,1001,940
NONHSAG103874.1,34,40,19,23,25,85,53,30,62,39,36,41
ENSG00000125356,1132,839,952,778,1041,933,586,873,593,818,789,727
ENSG00000125352,358,323,357,289,412,203,309,314,259,325,190,285
ENSG00000125351,297,228,258,219,300,171,241,208,197,311,232,281
NONHSAG103555.1,90,87,72,61,68,116,132,71,133,86,87,82
NONHSAG103554.1,7,5,13,4,6,6,18,14,18,14,9,12
ENSG00000198918,7017,8070,7584,5551,5089,6050,4616,10867,4223,7374,5702,6907
MSTRG.5822|ENSG00000125354,3011,2144,1776,1219,3051,1403,1210,1650,1199,1447,1195,1259
ENSG00000186416,547,559,784,862,498,483,515,738,469,716,570,605
NONHSAG115207.1,8,10,12,12,10,10,19,10,28,17,7,6
ENSG00000018610,799,715,759,691,612,668,846,915,1080,970,951,887
ENSG00000005022,6611,4539,7045,5274,5449,3766,2810,4918,2298,2822,2674,3049
ENSG00000224281,44,36,33,66,17,48,57,51,39,52,43,57
MSTRG.5748|ENSG00000077713,736,785,885,821,1283,851,587,705,601,778,735,792
NONHSAG115066.1,27,9,15,9,6,20,19,16,33,11,20,15
ENSG00000230392,14,12,10,10,4,8,16,11,19,22,5,14
ENSG00000101856,4588,3037,3500,5739,2040,2681,4246,4083,2936,5102,3796,3905
MSTRG.5747|ENSG00000175556,235,345,438,908,119,367,382,582,576,1020,970,554
ENSG00000203650,35,26,12,33,32,24,36,28,77,28,27,38
MSTRG.5746|ENSG00000131724,6341,5740,7243,6511,9378,4992,4910,3693,4065,5028,4896,6335
NONHSAG115206.1,1,5,7,2,10,4,7,10,7,3,4,13
NONHSAG104436.2,22,16,21,13,13,45,44,21,59,26,26,22
MSTRG.5745|ENSG00000147251,2473,3064,1867,1576,3065,6408,1729,1650,3856,4352,8136,4642
NONHSAG103544.1,48,23,49,45,14,28,93,29,44,54,32,48
ENSG00000003096,375,575,220,456,24,142,2670,2072,683,1631,785,1129
ENSG00000268104,85,508,17,10,3,41,697,2599,724,539,492,753
MSTRG.5744,155,461,408,89,111,540,1664,637,1600,1131,519,1293
MSTRG.5821|ENSG00000235244,76,228,197,34,67,275,661,347,626,479,323,697
NONHSAG103527.1,8,8,6,10,6,10,17,16,10,11,5,9
NONHSAG103526.1,31,34,26,24,28,26,47,27,20,32,25,36
ENSG00000286072,60,74,48,60,53,121,83,42,166,67,74,74
ENSG00000182508,1,8,7,6,6,2,10,34,3,26,18,17
NONHSAG055115.2,54,61,16,34,32,70,68,38,64,39,37,53
NONHSAG055114.2,32,19,15,19,22,26,26,36,14,26,20,32
NONHSAG115201.1,17,5,4,0,28,5,7,26,1,1,38,18
NONHSAG055105.2,97,338,103,101,67,228,517,780,616,933,726,658
MSTRG.5818|ENSG00000101938,2220,1814,2118,45,963,5233,870,3439,7424,7568,12153,9254
ENSG00000243978,7,8,21,11,9,12,5,7,18,14,19,34
