gene_id,1622003800C,1621001800C,1622003500C,1621003700C,1621002900C,1621002200C,162200380CP,162100180CP,162200350CP,162100370CP,162100290CP,162100220CP
NONHSAG056014.2,1,4,1,2,2,3,4,0,5,0,3,1
NONHSAG104635.1,0,2,0,0,0,1,0,0,1,2,2,0
NONHSAG104634.1,2,0,0,0,1,2,2,1,0,8,0,4
ENSG00000225876,0,0,4,1,0,1,1,0,1,3,0,0
ENSG00000235583,0,0,0,0,0,1,0,0,0,0,0,0
NONHSAG104656.1,8,12,15,42,7,14,18,6,37,18,19,13
ENSG00000286187,3,2,0,3,0,1,2,5,4,6,3,4
ENSG00000183146,0,0,0,0,1,0,0,0,0,0,0,1
ENSG00000198692,14,5,5,14,12,21,15,6,13,10,9,16
NONHSAG115262.1,0,2,0,0,0,0,2,1,0,1,1,1
ENSG00000288049,1,0,0,0,0,0,0,1,0,1,0,0
ENSG00000229129,0,0,0,0,0,0,0,0,0,1,0,0
NONHSAG104654.1,8,3,0,4,2,9,6,10,6,9,10,10
NONHSAG104650.1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215414,0,0,0,0,1,0,0,1,0,0,0,0
ENSG00000183878,1,0,0,0,0,0,0,0,2,3,1,0
NONHSAG055791.3,0,5,0,0,0,0,1,0,0,0,0,0
NONHSAG055781.2,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000206159,2,0,0,2,1,5,5,0,3,7,3,2
ENSG00000215583,0,0,0,0,0,0,0,0,0,1,0,0
NONHSAG055771.2,2,0,3,0,0,0,0,0,0,0,0,2
ENSG00000271375,0,1,0,0,1,0,1,0,0,0,0,0
ENSG00000258991,0,0,0,0,0,0,0,0,0,0,0,1
NONHSAG115270.1,18,14,5,13,10,14,7,16,5,24,15,13
ENSG00000274231,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000270570,0,0,1,0,0,0,0,0,0,0,0,0
NONHSAG104622.1,9,9,82,12,63,11,31,8,25,14,16,23
ENSG00000273693,0,0,0,0,0,0,0,3,0,0,0,1
NONHSAG055762.2,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251705,1,0,1,0,0,0,2,0,0,1,0,0
ENSG00000225840,2,1,0,0,1,0,0,0,0,0,0,0
ENSG00000237447,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000224634,0,0,0,0,0,0,1,0,0,0,0,0
NONHSAG115258.1,1,0,0,0,0,0,0,0,0,0,0,1
ENSG00000273906,2,8,2,0,0,6,2,0,2,3,2,1
ENSG00000235001,0,0,1,0,0,0,0,0,0,1,0,2
ENSG00000099715,26,24,19,11,15,37,63,25,84,17,17,23
ENSG00000229308,0,2,0,0,0,2,1,0,2,1,0,0
NONHSAG104611.2,3,5,6,0,4,8,8,5,12,11,8,7
ENSG00000231535,1,0,4,1,0,1,2,1,0,0,2,1
ENSG00000227159,8,1,0,0,0,0,0,0,0,1,2,1
ENSG00000124334,60,11,35,21,35,8,10,7,9,3,2,6
ENSG00000124333,1291,1462,1275,1121,1166,1308,943,1273,673,1165,1230,1432
ENSG00000168939,184,154,64,169,73,295,194,160,215,172,240,239
NONHSAG055631.2,0,0,0,0,0,1,0,0,0,1,0,1
ENSG00000225393,5,4,0,1,1,3,2,3,4,13,5,6
NONHSAG055627.2,5,6,8,10,3,8,17,12,10,5,7,5
ENSG00000288709,490,434,723,632,633,326,413,388,773,604,467,298
ENSG00000277858,4,3,2,1,1,10,4,2,8,0,2,2
ENSG00000224216,3,1,0,2,0,3,2,2,5,5,7,1
ENSG00000228986,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000155961,100,46,76,135,231,13,36,46,37,81,38,53
ENSG00000214827,30,30,30,14,7,21,41,27,28,34,25,21
ENSG00000182712,219,239,232,188,188,287,218,259,183,227,325,255
ENSG00000288258,0,10,0,0,0,0,0,7,4,19,0,0
ENSG00000165775,946,1317,1304,1024,1093,1175,905,1460,951,1602,1599,1354
NONHSAG103944.1,0,2,0,1,1,3,6,1,8,2,0,2
ENSG00000185010,1241,1377,491,339,457,3403,1897,1457,2487,2285,3566,3313
ENSG00000203870,0,1,0,0,0,3,1,0,2,0,0,4
ENSG00000130830,390,2557,1449,577,894,1583,324,656,611,531,717,692
ENSG00000130826,1961,1209,1686,2039,1180,979,1011,1779,842,1357,930,1186
NONHSAG115257.1,2,1,0,0,0,0,0,2,2,0,0,0
ENSG00000160219,423,839,375,166,400,613,290,275,554,280,400,357
MSTRG.5849|ENSG00000275882,62,34,73,60,26,21,20,79,5,44,22,63
ENSG00000273041,7,1,2,0,2,2,7,1,1,1,2,3
MSTRG.5765|ENSG00000269335,362,610,468,504,499,589,437,388,738,465,389,330
ENSG00000261773,2,0,5,2,0,1,2,0,1,1,2,1
NONHSAG115096.1,8,3,6,2,5,2,5,4,6,4,5,5
ENSG00000126903,701,819,859,765,546,650,668,771,695,838,600,593
NONHSAG055595.2,27,34,23,14,20,33,52,31,59,30,33,28
ENSG00000071859,1137,879,993,1073,1043,1160,683,549,853,766,809,796
ENSG00000203879,4440,2852,4029,3737,4891,2949,2958,3210,3598,3658,3132,2828
MSTRG.5764|ENSG00000071553,4507,3368,4581,5043,5104,1999,3097,2442,2254,2724,2163,2300
ENSG00000197180,56,65,58,78,105,56,48,56,51,88,64,48
ENSG00000280195,26,25,26,57,51,48,49,27,47,53,25,48
NONHSAG115256.1,9,5,9,12,16,13,26,5,10,13,15,17
ENSG00000102119,1434,1369,1915,1221,977,1025,1404,1750,1202,1436,1381,1157
MSTRG.5845|ENSG00000196924,47385,85572,55610,46212,48074,75914,40204,66016,103137,49412,60472,69135
ENSG00000231830,2,0,0,0,0,2,0,0,0,2,2,0
ENSG00000007350,3,14,12,0,2,18,9,7,8,3,5,11
ENSG00000277009,1,0,1,0,0,3,1,0,0,0,0,0
ENSG00000166160,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000268221,1,0,0,0,0,0,0,0,0,0,0,0
