gene_id	1622003800C	1621001800C	1622003500C	1621003700C	1621002900C	1621002200C	162200380CP	162100180CP	162200350CP	162100370CP	162100290CP	162100220CP
NONHSAG104659.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235857	0	0	0	0	0	0	0	0	0	0	0	0
NONHSAG056012.2	0	0	0	0	0	0	0	0	0	0	0	0
NONHSAG056014.2	1	4	1	2	2	3	4	0	5	0	3	1
ENSG00000231514	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237917	0	0	0	0	0	0	0	0	0	0	0	0
NONHSAG104635.1	0	2	0	0	0	1	0	0	1	2	2	0
ENSG00000227629	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215506	0	0	0	0	0	0	0	0	0	0	0	0
NONHSAG104634.1	2	0	0	0	1	2	2	1	0	8	0	4
ENSG00000277146	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188399	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252948	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225876	0	0	4	1	0	1	1	0	1	3	0	0
ENSG00000234888	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234744	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172283	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227635	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235511	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225326	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232614	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225256	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225609	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232064	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229709	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237823	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235583	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000197092	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239304	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172294	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233944	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233652	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223641	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274899	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236379	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230819	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223978	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278602	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226270	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240566	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224210	0	0	0	0	0	0	0	0	0	0	0	0
NONHSAG104633.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234399	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248792	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224827	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225491	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274234	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284071	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172342	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235981	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229250	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231375	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234081	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231423	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251917	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280961	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226369	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224571	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231540	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237302	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232845	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232424	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224866	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169763	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223407	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236647	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225189	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286744	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188120	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227251	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233126	0	0	0	0	0	0	0	0	0	0	0	0
NONHSAG104632.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183753	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226906	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215537	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228240	0	0	0	0	0	0	0	0	0	0	0	0
NONHSAG104631.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230727	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224917	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273589	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230814	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226941	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237902	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259247	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229940	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229234	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225615	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229159	0	0	0	0	0	0	0	0	0	0	0	0
NONHSAG055900.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232029	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228850	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229553	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232475	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231159	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226092	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227444	0	0	0	0	0	0	0	0	0	0	0	0
NONHSAG055891.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229725	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286187	3	2	0	3	0	1	2	5	4	6	3	4
ENSG00000237023	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271123	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184991	0	0	0	0	0	0	0	0	0	0	0	0
NONHSAG055884.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234414	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242875	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242393	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169811	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169849	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000288057	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236615	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183146	0	0	0	0	1	0	0	0	0	0	0	1
ENSG00000226918	0	0	0	0	0	0	0	0	0	0	0	0
