ensembl_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	name
MSTRG.4817|ENSG00000123500	3045.58768737235	6.629274075282434	0.48995934311637196	13.530253414736684	1.0366566313967499e-41	3.137337629259124e-37	COL10A1	collagen type X alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2185]
MSTRG.3548|ENSG00000170373	1267.9253252608803	9.295432300936705	0.7281407441219471	12.765982917417858	2.5392491493942204e-37	3.842391812863334e-33	CST1	cystatin SN [Source:HGNC Symbol;Acc:HGNC:2473]
ENSG00000165186	457.35600553945386	-3.8268048248301105	0.3174386471791039	-12.055258106839672	1.8196158207253522e-33	1.8356284399477354e-29	PTCHD1	patched domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26392]
ENSG00000196611	1247.2993899672508	6.79653237280614	0.5711670876674647	11.899376766546293	1.1923427247133419e-32	9.021265055181144e-29	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]
MSTRG.5424|ENSG00000148053	7635.107930652103	-2.9182279031861986	0.27990123254130594	-10.425920160089134	1.8882269513768644e-25	1.1429060091293884e-21	NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]
MSTRG.4144|ENSG00000157404	6353.450359473888	-3.9861336806838312	0.38762981241266753	-10.28335167481965	8.376299019214036e-25	4.22500522529156e-21	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]
MSTRG.2182|ENSG00000261327	149.19111691313933	3.6979445097184724	0.3632219609127152	10.180949688246177	2.4119581704557887e-24	1.0427928867239141e-20	-	novel transcript
ENSG00000182492	17083.68464562625	2.7143052908697327	0.26827457315871556	10.117639025238168	4.614113798584297e-24	1.7455192500044396e-20	BGN	biglycan [Source:HGNC Symbol;Acc:HGNC:1044]
ENSG00000187474	1608.3598514749474	2.8730868799516327	0.28749323348964473	9.993580875200385	1.6259945863854342e-23	5.467677795818753e-20	FPR3	formyl peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:3828]
ENSG00000154096	5498.954276546133	2.6670078484300817	0.27008916675041805	9.874545804699343	5.367557022588366e-23	1.6144732657372534e-19	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]
ENSG00000135074	1362.28572958656	2.3993630436364453	0.24320491242676748	9.865602712111862	5.868096062354542e-23	1.6144732657372534e-19	ADAM19	ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]
ENSG00000216490	4198.520226047282	2.9653121402519935	0.30099164023011105	9.851808967136042	6.73212225296829e-23	1.6978412321986026e-19	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]
MSTRG.4388|ENSG00000038427	32849.60402322297	2.452002505097251	0.25050240063645907	9.78833934871432	1.263540111894285e-22	2.9415213804898952e-19	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]
