ensembl_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	name
MSTRG.4817|ENSG00000123500	3.051e+03	6.623e+00	5.931e-01	1.117e+01	5.943e-29	2.310e-24	COL10A1	collagen type X alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2185]
ENSG00000165186	4.558e+02	-3.828e+00	3.580e-01	-1.069e+01	1.104e-26	2.145e-22	PTCHD1	patched domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26392]
MSTRG.3548|ENSG00000170373	1.268e+03	9.384e+00	9.292e-01	1.010e+01	5.553e-24	7.194e-20	CST1	cystatin SN [Source:HGNC Symbol;Acc:HGNC:2473]
ENSG00000196611	1.249e+03	6.775e+00	6.830e-01	9.919e+00	3.442e-23	3.344e-19	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]
ENSG00000113273	1.133e+03	1.501e+00	1.548e-01	9.697e+00	3.096e-22	2.407e-18	ARSB	arylsulfatase B [Source:HGNC Symbol;Acc:HGNC:714]
MSTRG.5424|ENSG00000148053	7.608e+03	-2.913e+00	3.133e-01	-9.297e+00	1.448e-20	9.380e-17	NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]
ENSG00000135074	1.360e+03	2.404e+00	2.601e-01	9.245e+00	2.343e-20	1.301e-16	ADAM19	ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]
ENSG00000086991	3.916e+02	1.527e+00	1.667e-01	9.157e+00	5.356e-20	2.313e-16	NOX4	NADPH oxidase 4 [Source:HGNC Symbol;Acc:HGNC:7891]
MSTRG.3011|ENSG00000204577	2.991e+02	2.252e+00	2.457e-01	9.169e+00	4.794e-20	2.313e-16	LILRB3	leukocyte immunoglobulin like receptor B3 [Source:HGNC Symbol;Acc:HGNC:6607]
ENSG00000182492	1.708e+04	2.720e+00	3.004e-01	9.052e+00	1.399e-19	5.436e-16	BGN	biglycan [Source:HGNC Symbol;Acc:HGNC:1044]
MSTRG.2182|ENSG00000261327	1.492e+02	3.696e+00	4.115e-01	8.982e+00	2.662e-19	7.980e-16	-	novel transcript
MSTRG.1057|ENSG00000066336	1.343e+03	1.517e+00	1.687e-01	8.992e+00	2.418e-19	7.980e-16	SPI1	Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]
MSTRG.5353|ENSG00000155926	2.440e+03	1.812e+00	2.017e-01	8.982e+00	2.669e-19	7.980e-16	SLA	Src like adaptor [Source:HGNC Symbol;Acc:HGNC:10902]
MSTRG.4388|ENSG00000038427	3.279e+04	2.457e+00	2.777e-01	8.850e+00	8.784e-19	2.439e-15	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]
ENSG00000154096	5.488e+03	2.672e+00	3.032e-01	8.815e+00	1.197e-18	3.102e-15	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]
ENSG00000187474	1.608e+03	2.878e+00	3.278e-01	8.781e+00	1.626e-18	3.950e-15	FPR3	formyl peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:3828]
MSTRG.2397|ENSG00000141506	7.558e+02	1.872e+00	2.139e-01	8.752e+00	2.100e-18	4.802e-15	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]
MSTRG.4144|ENSG00000157404	6.337e+03	-3.981e+00	4.605e-01	-8.646e+00	5.351e-18	1.155e-14	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]
ENSG00000216490	4.196e+03	2.970e+00	3.441e-01	8.631e+00	6.094e-18	1.247e-14	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]
ENSG00000244482	9.683e+01	2.200e+00	2.577e-01	8.537e+00	1.381e-17	2.683e-14	LILRA6	leukocyte immunoglobulin like receptor A6 [Source:HGNC Symbol;Acc:HGNC:15495]
